"Player Details","","","","","","","Matchup","","","","","","Man","","","","","Cover 2","","","","","Cover 3","","","","","Cover 4","","","","","Cover 6","","","",""
"Rank","Name","Team","POS","G","Season","OPP","RTE","RTE/G","FP/RR","EXP FP/RTE","COV GRADE","YPRR","DEF MAN %","DEF FP/DB","FP/RTE","RTE %","YPRR","DEF COVER 2 %","DEF FP/DB","FP/RTE","RTE %","YPRR","DEF COVER 3 %","DEF FP/DB","FP/RTE","RTE %","YPRR","DEF COVER 4 %","DEF FP/DB","FP/RTE","RTE %","YPRR","DEF COVER 6 %","DEF FP/DB","FP/RTE","RTE %","YPRR"
"72","Kendrick Bourne","SF","WR","10","2025","CAR","238","23.8","0.32","0.31","-1.1","1.96","16.6","0.44","0.19","18.1","0.95","11.2","0.22","0.45","15.5","3.43","41.0","0.47","0.36","33.2","2.25","13.8","0.31","0.30","21.0","1.64","17.4","0.38","0.24","12.2","1.34"
"73","Tyler Johnson","NYJ","WR","9","2025","BLT","133","14.8","0.26","0.31","18.9","1.41","36.9","0.50","0.25","25.6","0.44","14.0","0.39","0.35","19.5","2.35","32.7","0.35","0.20","37.6","1.42","6.1","0.49","0.00","12.0","","10.3","0.19","1.00","5.3","5.71"
"74","Tez Johnson","TB","WR","9","2025","LA","183","20.3","0.30","0.31","4.7","1.31","19.3","0.50","0.26","30.6","0.82","18.3","0.23","0.32","18.0","1.94","39.2","0.38","0.38","27.3","1.56","14.4","0.18","0.20","14.8","0.89","8.9","0.10","0.28","9.3","1.65"
"75","Kyle Pitts","ATL","TE","10","2025","NO","301","30.1","0.32","0.30","-4.9","1.44","24.1","0.70","0.41","26.6","1.76","7.4","0.50","0.33","18.9","1.58","41.5","0.48","0.28","32.2","1.20","19.3","0.26","0.20","11.3","0.85","7.7","0.48","0.30","11.0","1.76"
"76","Michael Mayer","LV","TE","8","2025","CLV","129","16.1","0.28","0.30","6.8","1.27","39.1","0.63","0.41","21.7","2.00","18.4","0.30","0.19","13.2","0.71","29.3","0.19","0.23","31.8","1.10","6.9","0.25","0.29","22.5","1.14","6.3","0.81","0.27","10.9","1.29"
"77","Mack Hollins","NE","WR","11","2025","CIN","212","19.3","0.31","0.30","-3.5","1.77","27.3","0.71","0.18","26.4","0.91","12.1","0.45","0.50","17.9","3.13","36.3","0.40","0.30","38.2","1.80","4.5","0.31","0.32","11.3","1.54","19.7","0.45","0.32","6.1","1.69"
"78","Xavier Worthy","KC","WR","8","2025","IND","196","24.5","0.31","0.30","-4.8","1.43","30.2","0.46","0.39","31.6","1.63","17.3","0.37","0.10","7.1","0.29","28.4","0.28","0.37","28.1","2.04","14.7","0.20","0.31","19.4","1.50","9.5","0.33","0.14","13.8","0.26"
"79","Olamide Zaccheaus","CHI","WR","10","2025","PIT","196","19.6","0.32","0.29","-8.4","1.27","35.9","0.47","0.18","25.5","0.76","12.7","0.45","0.21","12.2","0.83","32.2","0.24","0.46","40.8","1.74","12.2","0.16","0.29","11.2","1.09","7.0","0.66","0.29","10.2","1.35"
"80","Chig Okonkwo","TEN","TE","10","2025","SEA","222","22.2","0.29","0.29","-0.6","1.50","16.4","0.46","0.14","20.7","0.72","13.4","0.28","0.37","18.9","2.05","32.6","0.30","0.36","32.0","1.87","17.7","0.45","0.31","15.8","1.40","19.9","0.33","0.23","12.6","1.18"
"81","Tommy Tremble","CAR","TE","11","2025","SF","162","14.7","0.27","0.29","7.4","1.14","19.3","0.77","0.33","21.6","0.77","6.1","0.19","0.34","19.1","1.45","39.4","0.45","0.24","35.8","1.38","21.5","0.31","0.13","20.4","0.70","13.7","0.32","0.58","3.1","1.80"
"82","Calvin Ridley","TEN","WR","7","2025","SEA","142","20.3","0.33","0.28","-14.7","2.13","16.4","0.46","0.29","26.1","2.11","13.4","0.28","0.52","20.4","3.45","32.6","0.30","0.30","33.8","1.79","17.7","0.45","0.38","12.7","2.17","19.9","0.33","0.00","7.0",""
