"Player Details","","","","","","Snaps","","","Rushing","","","Receiving","","","","","","FPTS","","","","",""
"Rank","Name","Team","POS","G","Season","Snaps","TM Snaps","Snap %","ATT","TM ATT","ATT %","RTE","DB","RTE %","TGT","TM TGT","TGT %","XFP","TM XFP","XFP %","XFP/G","FP/G","FP"
"139","Ty Chandler","MIN","RB","1","2025","0","49","0.0","0","26","0.0","0","24","0.0","0","18","0.0","0.0","48.0","0.0","0.0","","0.0"
"140","Chase Edmonds","WAS","RB","1","2025","0","64","0.0","0","33","0.0","0","32","0.0","0","28","0.0","0.0","75.8","0.0","0.0","","0.0"
"141","Isaac Guerendo","SF","RB","6","2025","0","416","0.0","0","193","0.0","0","230","0.0","0","198","0.0","0.0","467.2","0.0","0.0","","0.0"
"142","Jakob Johnson","HST","FB","4","2025","51","230","22.2","0","88","0.0","5","154","3.2","0","124","0.0","0.0","274.7","0.0","0.0","","0.0"
"143","Lew Nichols","PIT","RB","1","2025","0","61","0.0","0","23","0.0","0","39","0.0","0","33","0.0","0.0","77.2","0.0","0.0","","0.0"
"144","Owen Wright","TB","RB","2","2025","2","118","1.7","0","65","0.0","0","58","0.0","0","49","0.0","0.0","120.1","0.0","0.0","","0.0"
"145","Avery Williams","NYJ","RB","1","2025","0","73","0.0","0","22","0.0","0","54","0.0","0","43","0.0","0.0","93.6","0.0","0.0","","0.0"
"146","Jeff Wilson","MIA","RB","1","2025","1","46","2.2","0","12","0.0","1","36","2.8","0","30","0.0","0.0","53.8","0.0","0.0","","0.0"
"147","Reggie Gilliam","BUF","FB","10","2025","152","620","24.5","0","301","0.0","13","349","3.7","0","286","0.0","0.0","695.0","0.0","0.0","","0.0"
"148","Kene Nwangwu","NYJ","RB","5","2025","1","282","0.4","0","151","0.0","1","147","0.7","0","94","0.0","0.0","234.5","0.0","0.0","","0.0"
"149","Jordan Mims","TEN","RB","1","2025","0","64","0.0","0","26","0.0","0","41","0.0","0","30","0.0","0.0","65.0","0.0","0.0","","0.0"
"150","Trey Sermon","PIT","RB","3","2025","1","164","0.6","0","68","0.0","0","98","0.0","0","82","0.0","0.0","184.8","0.0","0.0","","0.0"
"151","Ronnie Rivers","LA","RB","1","2025","1","62","1.6","0","29","0.0","1","34","2.9","0","33","0.0","0.0","98.2","0.0","0.0","","0.0"
"152","Audric Estime","NO","RB","1","2025","3","67","4.5","0","37","0.0","0","31","0.0","0","26","0.0","0.0","65.4","0.0","0.0","","0.0"

"Rank","Rank, Most to Least"
"Name","Full name of the player or team"
"Team","Team(s) played for"
"POS","Player Position"
"G","Games Played"
"Snaps","Total Offensive Snaps"
"TM Snaps","Total Team Snaps"
"Snap %","Snap Percentage"
"ATT","Rushing Attempts"
"TM ATT","Team Rushing Attempts"
"ATT %","Rushing Attempt Share"
"RTE","Routes Run"
"DB","Team Dropbacks"
"RTE %","Routes Run per Team Dropback"
"TGT","Targets"
"TM TGT","Team Targets"
"TGT %","Team Target Share"
"XFP","Expected Fantasy Points"
"TM XFP","Team Expected Fantasy Points"
"XFP %","Team XFP Share"
"XFP/G","Expected PPR Fantasy Points per Game"
"FP/G","Fantasy Points per Game"
"FP","Fantasy Points"
