"Player Details","","","","","","Overall","","","","Man","","","","Zone","","","","Single-High","","","","Two-High","","",""
"Rank","Name","Team","POS","G","Season","RTE","TPRR","YPRR","FP/RR","RTE","TPRR","YPRR","FP/RR","RTE","TPRR","YPRR","FP/RR","RTE","TPRR","YPRR","FP/RR","RTE","TPRR","YPRR","FP/RR"
"100","AJ Barner","SEA","TE","10","2025","188","0.18","1.63","0.49","48","0.21","1.50","0.59","131","0.17","1.69","0.32","97","0.16","1.84","0.39","91","0.20","1.41","0.53"
"101","Chris Moore","WAS","WR","10","2025","188","0.11","1.02","0.19","53","0.15","1.89","0.36","131","0.09","0.70","0.12","123","0.12","1.18","0.22","65","0.08","0.72","0.12"
"102","Matthew Golden","GB","WR","9","2025","185","0.17","1.55","0.31","59","0.12","1.49","0.22","119","0.19","1.69","0.33","103","0.11","0.97","0.18","82","0.24","2.27","0.41"
"103","Calvin Austin","PIT","WR","8","2025","185","0.19","1.31","0.31","64","0.25","1.55","0.45","115","0.17","1.12","0.23","72","0.29","1.64","0.48","113","0.13","1.10","0.21"
"104","Chimere Dike","TEN","WR","10","2025","183","0.19","1.14","0.28","35","0.23","1.71","0.49","140","0.18","1.02","0.22","86","0.17","1.42","0.34","97","0.20","0.89","0.21"
"105","Jake Tonges","SF","TE","11","2025","182","0.19","1.24","0.40","28","0.11","0.46","0.33","144","0.22","1.47","0.39","71","0.24","1.54","0.58","111","0.16","1.05","0.29"
"106","Colston Loveland","CHI","TE","9","2025","179","0.18","1.84","0.38","42","0.12","0.38","0.25","133","0.20","2.35","0.44","106","0.21","1.84","0.37","73","0.15","1.84","0.40"
"107","Dyami Brown","JAX","WR","9","2025","176","0.20","1.24","0.28","34","0.15","0.71","0.31","135","0.22","1.44","0.27","105","0.17","1.42","0.29","71","0.25","0.99","0.23"
"108","Cedric Tillman","CLV","WR","6","2025","176","0.15","0.96","0.26","71","0.14","1.01","0.37","102","0.16","0.95","0.18","104","0.13","1.22","0.27","72","0.18","0.58","0.24"
"109","Tyquan Thornton","KC","WR","10","2025","173","0.17","2.15","0.41","59","0.24","1.90","0.41","107","0.14","2.43","0.43","92","0.17","2.49","0.41","81","0.16","1.77","0.40"
"110","Tommy Tremble","CAR","TE","11","2025","171","0.14","1.08","0.25","37","0.16","0.73","0.32","127","0.14","1.24","0.25","91","0.14","1.18","0.28","80","0.14","0.96","0.22"
"111","Dont'e Thornton","LV","WR","9","2025","170","0.12","0.58","0.09","48","0.19","1.17","0.16","119","0.09","0.35","0.07","75","0.16","0.65","0.11","95","0.09","0.52","0.08"
"112","Cole Kmet","CHI","TE","9","2025","168","0.16","1.14","0.25","30","0.07","0.97","0.16","133","0.18","1.19","0.26","92","0.17","0.87","0.22","76","0.14","1.47","0.28"
"113","Zay Jones","ARZ","WR","8","2025","163","0.10","1.12","0.19","38","0.11","0.39","0.09","117","0.09","1.44","0.23","84","0.12","0.76","0.15","79","0.08","1.51","0.23"
"114","Pat Bryant","DEN","WR","11","2025","161","0.14","1.43","0.27","33","0.06","0.21","0.05","122","0.16","1.84","0.35","90","0.12","0.93","0.15","71","0.15","2.07","0.43"
"115","DeMario Douglas","NE","WR","11","2025","159","0.21","2.09","0.47","43","0.30","5.19","1.03","111","0.16","0.94","0.26","92","0.23","3.04","0.54","67","0.18","0.78","0.36"
"116","Jordan Whittington","LA","WR","10","2025","159","0.11","0.82","0.17","51","0.08","0.14","0.05","101","0.14","1.22","0.23","94","0.14","1.15","0.22","65","0.08","0.34","0.08"
"117","Dawson Knox","BUF","TE","10","2025","157","0.13","1.13","0.23","49","0.12","0.16","0.04","107","0.13","1.59","0.33","104","0.13","1.33","0.27","53","0.13","0.75","0.17"
"118","Greg Dortch","ARZ","WR","10","2025","157","0.14","0.89","0.35","32","0.13","1.16","0.43","115","0.16","0.89","0.29","79","0.13","0.80","0.27","78","0.15","0.97","0.33"
