"Player Details","","","","","","Overall","","","","","","","","","","","","","","","Wide","","","","","Slot","","","","","Inline","","","","","Backfield","","","",""
"Rank","Name","Team","POS","G","Season","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","+1 Rate","+2 Rate","+3 Rate","Neg Rate","TGT","REC","YDS","TD","AY","ADOR","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","RTE","SEP SCORE","YPRR","TPRR","WIN RATE"
"418","Ross Dwelley","DET","TE","7","2025","7","0.286","","0.14","14.3","0.0","14.3","0.0","0.0","1","0","0","0","1","5.3","","","","","0.0","","","","","0.0","7","0.286","","0.14","14.3","","","","","0.0"
"419","George Holani","SEA","RB","10","2025","7","-0.286","2.14","0.29","0.0","0.0","0.0","0.0","14.3","2","2","15","0","-1","-3.0","","","","","0.0","1","-2.000","","","0.0","","","","","0.0","6","0.000","2.50","0.33","0.0"
"420","Dameon Pierce","HST","RB","4","2025","6","0.000","","0.17","0.0","0.0","0.0","0.0","0.0","1","0","0","0","-5","-2.3","","","","","0.0","","","","","0.0","","","","","0.0","6","0.000","","0.17","0.0"
"421","Efton Chism","NE","WR","5","2025","6","0.000","","","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","6.2","6","0.000","","","0.0","","","","","0.0","","","","","0.0","","","","","0.0"
"422","Tai Felton","MIN","WR","8","2025","6","-0.167","1.50","0.17","0.0","0.0","0.0","0.0","16.7","1","1","9","0","7","7.8","6","-0.167","1.50","0.17","0.0","","","","","0.0","","","","","0.0","","","","","0.0"
"423","Malik Davis","DAL","RB","4","2025","6","0.000","","","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","1.0","","","","","0.0","","","","","0.0","","","","","0.0","6","0.000","","","0.0"
"424","Michael Bandy","DEN","WR","2","2025","6","0.000","2.29","0.14","16.7","16.7","0.0","0.0","16.7","1","1","16","0","5","6.2","","","","","0.0","6","0.000","2.29","0.14","16.7","","","","","0.0","","","","","0.0"
"425","Nick Vannett","MIN","TE","3","2025","5","0.000","","","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","3.6","","","","","0.0","","","","","0.0","5","0.000","","","0.0","","","","","0.0"
"426","Jaleel McLaughlin","DEN","RB","2","2025","5","0.000","-1.00","0.40","0.0","0.0","0.0","0.0","0.0","2","1","-5","0","-12","-3.4","","","","","0.0","","","","","0.0","","","","","0.0","5","0.000","-1.00","0.40","0.0"
"427","Malik Turner","SF","WR","3","2025","5","0.000","","","20.0","20.0","0.0","0.0","20.0","0","0","0","0","0","11.0","5","0.000","","","20.0","","","","","0.0","","","","","0.0","","","","","0.0"
"428","Dalevon Campbell","CAR","WR","2","2025","5","-0.200","","","0.0","0.0","0.0","0.0","20.0","0","0","0","0","0","13.0","2","-0.500","","","0.0","3","0.000","","","0.0","","","","","0.0","","","","","0.0"
"429","Kevin Austin","NO","WR","1","2025","5","-0.200","","0.20","0.0","0.0","0.0","0.0","20.0","1","0","0","0","23","3.4","3","-0.333","","0.33","0.0","2","0.000","","","0.0","","","","","0.0","","","","","0.0"
"430","Jakob Johnson","HST","FB","4","2025","5","0.200","","","20.0","20.0","0.0","0.0","0.0","0","0","0","0","0","0.6","","","","","0.0","","","","","0.0","4","0.250","","","25.0","1","0.000","","","0.0"
"431","Brenden Bates","HST, CLV","TE","4","2025","4","0.000","5.75","0.50","0.0","0.0","0.0","0.0","0.0","2","2","23","0","23","3.3","","","","","0.0","","","","","0.0","4","0.000","5.75","0.50","0.0","","","","","0.0"
"432","Jaret Patterson","LAC","RB","3","2025","4","0.000","","","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","-2.8","1","0.000","","","0.0","","","","","0.0","","","","","0.0","3","0.000","","","0.0"
"433","Brayden Willis","SF","TE","5","2025","4","-0.250","","0.20","0.0","0.0","0.0","0.0","25.0","1","0","0","0","2","8.0","1","0.000","","","0.0","1","0.000","","0.50","0.0","2","-0.500","","","0.0","","","","","0.0"
"434","Will Mallory","IND","TE","1","2025","4","0.250","","","25.0","25.0","0.0","0.0","0.0","0","0","0","0","0","5.8","1","0.000","","","0.0","3","0.333","","","33.3","","","","","0.0","","","","","0.0"
"435","Stephen Carlson","CHI","TE","2","2025","4","0.000","","","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","6.5","1","0.000","","","0.0","2","0.000","","","0.0","1","0.000","","","0.0","","","","","0.0"
"436","Travis Homer","CHI","RB","4","2025","4","0.000","","","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","-3.8","","","","","0.0","","","","","0.0","","","","","0.0","4","0.000","","","0.0"
"437","Keleki Latu","BUF","TE","1","2025","4","0.000","1.00","0.25","25.0","25.0","0.0","0.0","25.0","1","1","4","0","4","5.3","2","0.500","","","50.0","","","","","0.0","2","-0.500","2.00","0.50","0.0","","","","","0.0"
"438","Dylan Drummond","ATL","WR","2","2025","4","-0.250","","","0.0","0.0","0.0","0.0","25.0","0","0","0","0","0","10.8","4","-0.250","","","0.0","","","","","0.0","","","","","0.0","","","","","0.0"
"439","Nikko Remigio","KC","WR","10","2025","4","0.000","4.20","0.20","0.0","0.0","0.0","0.0","0.0","1","1","21","0","18","3.8","3","0.000","5.25","0.25","0.0","1","0.000","","","0.0","","","","","0.0","","","","","0.0"
"440","Ke'Shawn Williams","PIT","WR","6","2025","4","0.000","","","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","3.3","3","0.000","","","0.0","1","0.000","","","0.0","","","","","0.0","","","","","0.0"
"441","Jalen Royals","KC","WR","4","2025","4","-0.250","","","0.0","0.0","0.0","0.0","25.0","0","0","0","0","0","1.0","1","0.000","","","0.0","3","-0.333","","","0.0","","","","","0.0","","","","","0.0"
"442","Cam Grandy","CIN","TE","3","2025","4","0.000","1.50","0.25","0.0","0.0","0.0","0.0","0.0","1","1","6","0","-2","5.3","1","0.000","","","0.0","1","0.000","","","0.0","2","0.000","3.00","0.50","0.0","","","","","0.0"
"443","Elijah Mitchell","KC","RB","1","2025","4","0.000","","0.25","0.0","0.0","0.0","0.0","0.0","1","0","0","0","22","-5.0","","","","","0.0","1","0.000","","","0.0","","","","","0.0","3","0.000","","0.33","0.0"
"444","Terrell Jennings","NE","RB","4","2025","4","0.000","2.25","0.25","0.0","0.0","0.0","0.0","0.0","1","1","9","0","2","-2.8","","","","","0.0","","","","","0.0","","","","","0.0","4","0.000","2.25","0.25","0.0"
"445","Nyheim Hines","LAC","RB","3","2025","3","0.333","","","33.3","33.3","0.0","0.0","0.0","0","0","0","0","0","1.7","1","0.000","","","0.0","","","","","0.0","","","","","0.0","2","0.500","","","50.0"
"446","Cameron Latu","PHI","TE","9","2025","3","0.000","","","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","1.7","","","","","0.0","","","","","0.0","1","0.000","","","0.0","2","0.000","","","0.0"
"447","Carter Runyon","LV","TE","4","2025","3","0.000","1.00","0.33","0.0","0.0","0.0","0.0","0.0","1","1","3","0","-3","5.7","2","0.000","1.50","0.50","0.0","1","0.000","","","0.0","","","","","0.0","","","","","0.0"
"448","Jahdae Walker","CHI","WR","3","2025","3","-0.333","","","0.0","0.0","0.0","0.0","33.3","0","0","0","0","0","1.7","3","-0.333","","","0.0","","","","","0.0","","","","","0.0","","","","","0.0"
"449","Treyton Welch","NO","TE","1","2025","3","0.333","","","33.3","33.3","0.0","0.0","0.0","0","0","0","0","0","2.3","","","","","0.0","1","0.000","","","0.0","2","0.500","","","50.0","","","","","0.0"
"450","Nick Kallerup","SEA","TE","3","2025","3","0.000","","0.33","0.0","0.0","0.0","0.0","0.0","1","0","0","0","7","1.0","","","","","0.0","","","","","0.0","3","0.000","","0.33","0.0","","","","","0.0"
"451","Brandon Smith","NYJ","WR","1","2025","3","0.000","","","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","5.0","3","0.000","","","0.0","","","","","0.0","","","","","0.0","","","","","0.0"
"452","Travis Vokolek","ARZ","TE","3","2025","3","-0.333","","","0.0","0.0","0.0","0.0","33.3","0","0","0","0","0","10.0","1","0.000","","","0.0","","","","","0.0","2","-0.500","","","0.0","","","","","0.0"
"453","Brady Russell","SEA","FB","10","2025","3","0.000","","","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","5.0","1","0.000","","","0.0","","","","","0.0","","","","","0.0","2","0.000","","","0.0"
"454","Hayden Rucci","MIA","TE","4","2025","2","0.000","","","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","5.5","","","","","0.0","","","","","0.0","2","0.000","","","0.0","","","","","0.0"
"455","Xavier Gipson","PHI, NYJ","WR","5","2025","2","0.000","1.50","0.50","0.0","0.0","0.0","0.0","0.0","1","1","3","0","-5","-2.0","","","","","0.0","2","0.000","1.50","0.50","0.0","","","","","0.0","","","","","0.0"
"456","Jacoby Jones","WAS","WR","1","2025","2","0.000","12.50","0.50","0.0","0.0","0.0","0.0","0.0","1","1","25","0","3","1.0","1","0.000","25.00","1.00","0.0","1","0.000","","","0.0","","","","","0.0","","","","","0.0"
"457","Shedrick Jackson","LV","WR","1","2025","2","0.000","","","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","8.5","","","","","0.0","2","0.000","","","0.0","","","","","0.0","","","","","0.0"
"458","Pharaoh Brown","ARZ","TE","1","2025","2","0.000","","","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","","","","","","0.0","","","","","0.0","2","0.000","","","0.0","","","","","0.0"
"459","Charlie Jones","CIN","WR","10","2025","2","0.000","","","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","15.0","2","0.000","","","0.0","","","","","0.0","","","","","0.0","","","","","0.0"
"460","Ja'Corey Brooks","WAS","WR","1","2025","2","-0.500","","","0.0","0.0","0.0","0.0","50.0","0","0","0","0","0","7.0","2","-0.500","","","0.0","","","","","0.0","","","","","0.0","","","","","0.0"
"461","Marcedes Lewis","DEN","TE","3","2025","2","0.000","","","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","-5.5","","","","","0.0","","","","","0.0","2","0.000","","","0.0","","","","","0.0"
"462","Cam Akers","MIN","RB","2","2025","2","0.000","","0.50","0.0","0.0","0.0","0.0","0.0","1","0","0","0","-7","-2.0","","","","","0.0","1","0.000","","","0.0","","","","","0.0","1","0.000","","1.00","0.0"
"463","Mecole Hardman","BUF","WR","1","2025","2","-0.500","","0.50","0.0","0.0","0.0","0.0","50.0","1","0","0","0","46","19.5","1","-1.000","","1.00","0.0","1","0.000","","","0.0","","","","","0.0","","","","","0.0"
"464","Amar Johnson","LAC","RB","1","2025","1","0.000","","","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","","","","","","0.0","","","","","0.0","","","","","0.0","1","0.000","","","0.0"
"465","Jalen Cropper","DAL","WR","3","2025","1","0.000","","","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","6.0","1","0.000","","","0.0","","","","","0.0","","","","","0.0","","","","","0.0"
"466","Ko Kieft","TB","TE","3","2025","1","0.000","","","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","","","","","","0.0","","","","","0.0","1","0.000","","","0.0","","","","","0.0"
"467","Myles Price","MIN","WR","10","2025","1","0.000","","","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","10.0","","","","","0.0","1","0.000","","","0.0","","","","","0.0","","","","","0.0"
"468","Shane Zylstra","DET","TE","1","2025","1","1.000","","","100.0","100.0","0.0","0.0","0.0","0","0","0","0","0","","1","1.000","","","100.0","","","","","0.0","","","","","0.0","","","","","0.0"
"469","Kene Nwangwu","NYJ","RB","5","2025","1","0.000","","","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","","","","","","0.0","","","","","0.0","","","","","0.0","1","0.000","","","0.0"
"470","Ronnie Rivers","LA","RB","1","2025","1","0.000","","","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","5.0","","","","","0.0","1","0.000","","","0.0","","","","","0.0","","","","","0.0"
"471","Roschon Johnson","CHI","RB","6","2025","1","0.000","","","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","1.0","","","","","0.0","","","","","0.0","","","","","0.0","1","0.000","","","0.0"
"472","British Brooks","HST","FB","6","2025","1","0.000","","","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","-1.0","","","","","0.0","","","","","0.0","","","","","0.0","1","0.000","","","0.0"
"473","Jeff Wilson","MIA","RB","1","2025","1","0.000","","","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","","","","","","0.0","","","","","0.0","","","","","0.0","1","0.000","","","0.0"

"Rank","Rank, Most to Least"
"Name","Full name of the player or team"
"Team","Team(s) played for"
"POS","Player Position"
"G","Games Played"
"RTE","Routes Run"
"SEP SCORE","Average separation score on routes run"
"YPRR","Yards per Route Run"
"TPRR","Targets per Route Run"
"WIN RATE","Percentage of routes with a positive separation score"
"+1 Rate","Percentage of graded routes to earn a grade of +1"
"+2 Rate","Percentage of graded routes to earn a grade of +2"
"+3 Rate","Percentage of graded routes to earn a grade of +3"
"Neg Rate","Percentage of graded routes to earn a negative separation grade"
"RTE","Routes Run"
"SEP SCORE","Average separation score on routes run"
"YPRR","Yards per Route Run"
"TPRR","Targets per Route Run"
"WIN RATE","Percentage of routes with a positive separation score"
"RTE","Routes Run"
"SEP SCORE","Average separation score on routes run"
"YPRR","Yards per Route Run"
"TPRR","Targets per Route Run"
"WIN RATE","Percentage of routes with a positive separation score"
"RTE","Routes Run"
"SEP SCORE","Average separation score on routes run"
"YPRR","Yards per Route Run"
"TPRR","Targets per Route Run"
"WIN RATE","Percentage of routes with a positive separation score"
"RTE","Routes Run"
"SEP SCORE","Average separation score on routes run"
"YPRR","Yards per Route Run"
"TPRR","Targets per Route Run"
"WIN RATE","Percentage of routes with a positive separation score"
