"Player Details","","","","","","Rushing","","","","","","Receiving","","","","","","","","","","Total","","","","","Efficiency","","","","","","","","","","","","","","","","","FPTS","","","","","",""
"Rank","Name","Team","POS","G","Season","ATT","YDS","TD","YACO","MTF","EXP","RTE","TGT","REC","YDS","TD","AY","YAC","YACO","MTF","EXP","TOUCH","YFS","TD","MTF","YACO","YPC","YACO/ATT","MTF/ATT","EXP RUN %","YPRR","YPT","YAC/REC","YACO/REC","MTF/REC","EXP REC %","YFS/TOUCH","MTF/TOUCH","YACO/TOUCH","EXP PLAY %","RuYDS/G","RecYDS/G","YFS/G","FP/G","FP","XFP","XFP/G","XFP %","XTD","XTD/G"
"255","Hunter Long","JAX","TE","8","2025","0","0","0","0","0","0","108","16","12","85","2","65","34","8","0","0","12","85","2","0","8","","","","","0.79","5.31","2.83","0.67","","","7.08","","0.67","","0.0","10.6","10.6","4.1","32.5","30.3","3.8","4.7","1.5","0.19"
"256","Brycen Tremayne","CAR","WR","10","2025","0","0","0","0","0","0","92","14","12","133","0","116","46","11","1","2","12","133","0","1","11","","","","","1.45","9.50","3.83","0.92","0.08","16.7","11.08","0.08","0.92","16.7","0.0","13.3","13.3","2.5","25.3","25.4","2.5","3.6","0.2","0.02"
"257","Roman Wilson","PIT","WR","10","2025","0","0","0","0","0","0","121","17","12","166","2","177","67","18","1","3","12","166","2","1","18","","","","","1.37","9.76","5.58","1.50","0.08","25.0","13.83","0.08","1.50","25.0","0.0","16.6","16.6","4.0","39.6","28.5","2.9","4.4","0.6","0.06"
"258","Daniel Bellinger","NYG","TE","10","2025","0","0","0","0","0","0","114","15","12","202","1","177","65","15","0","3","12","202","1","0","15","","","","","1.77","13.47","5.42","1.25","","25.0","16.83","","1.25","25.0","0.0","20.2","20.2","3.8","38.2","26.8","2.7","3.7","1.1","0.11"
"259","Demarcus Robinson","SF","WR","8","2025","0","0","0","0","0","0","143","23","12","155","0","323","27","10","2","2","12","155","0","2","10","","","","","1.08","6.74","2.25","0.83","0.17","16.7","12.92","0.17","0.83","16.7","0.0","19.4","19.4","3.7","29.5","44.2","5.5","7.6","1.4","0.18"
"260","Brock Wright","DET","TE","10","2025","0","0","0","0","0","0","83","14","11","79","2","22","64","18","0","0","11","79","2","0","18","","","","","0.95","5.64","5.82","1.64","","","7.18","","1.64","","0.0","7.9","7.9","3.1","30.9","22.9","2.3","3.4","0.7","0.07"
"261","Julian Hill","MIA","TE","8","2025","0","0","0","0","0","0","66","14","11","91","0","49","77","24","1","0","11","91","0","1","24","","","","","1.38","6.50","7.00","2.18","0.09","","8.27","0.09","2.18","","0.0","11.4","11.4","2.8","22.1","23.7","3.0","4.6","0.5","0.06"
"262","Mitchell Evans","CAR","TE","11","2025","0","0","0","0","0","0","81","11","11","118","2","65","59","15","0","2","11","118","2","0","15","","","","","1.46","10.73","5.36","1.36","","18.2","10.73","","1.36","18.2","0.0","10.7","10.7","3.2","34.8","19.8","1.8","2.6","0.9","0.08"
"263","Adam Trautman","DEN","TE","11","2025","0","0","0","0","0","0","83","12","11","93","1","51","64","12","2","2","11","93","1","2","12","","","","","1.12","7.75","5.82","1.09","0.18","18.2","8.45","0.18","1.09","18.2","0.0","8.5","8.5","2.4","26.3","19.9","1.8","2.4","0.5","0.05"
"264","Chris Moore","WAS","WR","10","2025","1","9","0","2","0","0","188","20","10","192","1","316","47","14","0","3","11","201","1","0","16","9.00","2.00","","","1.02","9.60","4.70","1.40","","30.0","18.27","","1.45","27.3","0.9","19.2","20.1","3.6","36.1","41.1","4.1","6.6","1.3","0.13"
"265","Jalen Coker","CAR","WR","5","2025","0","0","0","0","0","0","116","14","11","118","0","126","25","12","0","2","11","118","0","0","12","","","","","1.02","8.43","2.27","1.09","","18.2","10.73","","1.09","18.2","0.0","23.6","23.6","5.0","24.8","19.7","3.9","6.2","0.1","0.01"
"266","Tyrell Shavers","BUF","WR","10","2025","0","0","0","0","0","0","94","17","11","172","1","221","57","9","0","4","11","172","1","0","9","","","","","1.83","10.12","5.18","0.82","","36.4","15.64","","0.82","36.4","0.0","17.2","17.2","3.4","34.2","31.8","3.2","4.6","0.5","0.05"
"267","Nick Westbrook-Ikhine","MIA","WR","11","2025","0","0","0","0","0","0","153","17","11","89","0","90","32","19","1","0","11","89","0","1","19","","","","","0.58","5.24","2.91","1.73","0.09","","8.09","0.09","1.73","","0.0","8.1","8.1","1.8","19.9","33.3","3.0","4.7","0.5","0.04"
"268","Luke McCaffrey","WAS","WR","9","2025","0","0","0","0","0","0","96","15","11","203","3","231","69","7","0","3","11","203","3","0","7","","","","","2.11","13.53","6.27","0.64","","27.3","18.45","","0.64","27.3","0.0","22.6","22.6","5.7","51.3","29.4","3.3","5.2","0.8","0.09"
"269","Josh Reynolds","NYJ","WR","5","2025","0","0","0","0","0","0","153","21","11","101","0","278","16","9","1","0","11","101","0","1","9","","","","","0.66","4.81","1.45","0.82","0.09","","9.18","0.09","0.82","","0.0","20.2","20.2","4.6","23.1","35.5","7.1","11.8","0.7","0.15"
"270","Darren Waller","MIA","TE","4","2025","0","0","0","0","0","0","69","12","10","117","4","141","34","5","1","2","10","117","4","1","5","","","","","1.70","9.75","3.40","0.50","0.10","20.0","11.70","0.10","0.50","20.0","0.0","29.3","29.3","11.4","45.7","25.0","6.2","10.0","1.6","0.40"
"271","Jamari Thrash","CLV","WR","9","2025","0","0","0","0","0","0","128","14","10","107","0","140","6","4","0","3","10","107","0","0","4","","","","","0.84","7.64","0.60","0.40","","30.0","10.70","","0.40","30.0","0.0","11.9","11.9","2.3","20.7","19.8","2.2","3.0","0.2","0.02"
"272","Dameon Pierce","HST","RB","4","2025","10","26","0","27","0","0","6","1","0","0","0","-5","0","","0","0","10","26","0","0","27","2.60","2.70","","","","0.00","","","","","2.60","","2.70","","6.5","0.0","6.5","0.7","2.6","8.4","2.1","2.6","0.1","0.03"
"273","Luke Farrell","SF","TE","11","2025","0","0","0","0","0","0","94","10","10","82","2","29","53","26","1","0","10","82","2","1","26","","","","","0.87","8.20","5.30","2.60","0.10","","8.20","0.10","2.60","","0.0","7.5","7.5","2.7","29.2","15.6","1.4","1.9","0.3","0.03"
"274","Tyler Johnson","NYJ","WR","9","2025","0","0","0","0","0","0","138","14","10","187","1","213","60","16","1","5","10","187","1","1","16","","","","","1.36","13.36","6.00","1.60","0.10","50.0","18.70","0.10","1.60","50.0","0.0","20.8","20.8","3.9","34.7","27.9","3.1","5.3","0.6","0.07"
"275","Tanner Hudson","CIN","TE","6","2025","0","0","0","0","0","0","52","12","10","83","1","59","40","19","1","1","10","83","1","1","19","","","","","1.60","6.92","4.00","1.90","0.10","10.0","8.30","0.10","1.90","10.0","0.0","13.8","13.8","4.1","24.3","20.8","3.5","4.8","0.8","0.14"
"276","Adonai Mitchell","IND, NYJ","WR","9","2025","0","0","0","0","0","0","81","21","10","162","0","367","54","37","2","1","10","162","0","2","37","","","","","2.00","7.71","5.40","3.70","0.20","10.0","16.20","0.20","3.70","10.0","0.0","18.0","18.0","2.8","25.2","39.7","4.4","6.1","1.3","0.14"
"277","Chris Brooks","GB","RB","10","2025","3","10","0","4","0","0","32","9","7","54","0","-3","64","10","2","0","10","64","0","2","14","3.33","1.33","","","1.69","6.00","9.14","1.43","0.29","","6.40","0.20","1.40","","1.0","5.4","6.4","1.3","13.4","14.7","1.5","2.1","0.2","0.02"
"278","Hunter Luepke","DAL","FB","10","2025","3","13","0","5","0","0","30","8","7","56","1","-1","61","16","1","0","10","69","1","1","21","4.33","1.67","","","1.87","7.00","8.71","2.29","0.14","","6.90","0.10","2.10","","1.3","5.6","6.9","2.0","19.9","15.0","1.5","1.8","0.6","0.06"
"279","Jahan Dotson","PHI","WR","10","2025","0","0","0","0","0","0","214","17","10","194","1","265","43","13","0","4","10","194","1","0","13","","","","","0.91","11.41","4.30","1.30","","40.0","19.40","","1.30","40.0","0.0","19.4","19.4","3.5","35.4","28.4","2.8","4.5","0.5","0.05"
"280","Nate Carter","ATL","RB","3","2025","9","60","0","21","1","0","0","0","0","0","0","0","0","","0","0","9","60","0","1","21","6.67","2.33","0.11","","","0.00","","","","","6.67","0.11","2.33","","20.0","0.0","20.0","1.7","5.0","3.9","1.3","2.1","0.0","0.01"
"281","John Metchie","PHI, NYJ","WR","9","2025","1","-7","0","2","0","0","37","8","8","66","1","38","28","4","0","1","9","59","1","0","6","-7.00","2.00","","","1.78","8.25","3.50","0.50","","12.5","6.56","","0.67","11.1","-0.8","7.3","6.6","2.2","19.9","13.1","1.5","2.4","0.3","0.03"
"282","Tanner Conner","MIA","TE","9","2025","0","0","0","0","0","0","96","15","9","91","0","121","40","11","0","1","9","91","0","0","11","","","","","0.95","6.07","4.44","1.22","","11.1","10.11","","1.22","11.1","0.0","10.1","10.1","2.0","18.1","25.0","2.8","4.3","0.5","0.05"
"283","Dylan Laube","LV","RB","10","2025","5","5","0","5","0","0","14","4","3","18","0","-3","24","15","1","0","8","23","0","1","20","1.00","1.00","","","1.29","4.50","8.00","5.00","0.33","","2.88","0.13","2.50","","0.5","1.8","2.3","0.5","5.3","8.4","0.8","1.3","0.0","0.00"
"284","Jaleel McLaughlin","DEN","RB","2","2025","7","19","1","9","0","0","5","2","1","-5","0","-12","1","","0","0","8","14","1","0","9","2.71","1.29","","","-1.00","-2.50","1.00","","","","1.75","","1.13","","9.5","-2.5","7.0","4.2","8.4","8.4","4.2","6.5","0.4","0.22"
"285","Jackson Hawes","BUF","TE","10","2025","0","0","0","0","0","0","50","11","8","113","2","113","40","16","0","2","8","113","2","0","16","","","","","2.26","10.27","5.00","2.00","","25.0","14.13","","2.00","25.0","0.0","11.3","11.3","3.1","31.3","22.0","2.2","3.2","1.0","0.10"
"286","Malachi Corley","CLV","WR","6","2025","4","74","0","19","4","3","25","5","4","26","0","-10","29","7","1","0","8","100","0","5","26","18.50","4.75","1.00","75.0","1.04","5.20","7.25","1.75","0.25","","12.50","0.63","3.25","37.5","12.3","4.3","16.7","2.3","14.0","9.2","1.5","2.3","0.0","0.00"
"287","Arian Smith","NYJ","WR","10","2025","2","3","0","3","0","0","195","10","6","47","0","149","20","15","1","1","8","50","0","1","18","1.50","1.50","","","0.24","4.70","3.33","2.50","0.17","16.7","6.25","0.13","2.25","12.5","0.3","4.7","5.0","1.1","11.0","20.1","2.0","3.4","0.4","0.04"
"288","Greg Dulcich","MIA","TE","4","2025","0","0","0","0","0","0","56","12","8","89","0","57","50","13","1","1","8","89","0","1","13","","","","","1.59","7.42","6.25","1.63","0.13","12.5","11.13","0.13","1.63","12.5","0.0","22.3","22.3","4.2","16.9","20.9","5.2","8.1","0.5","0.13"
"289","Mike Gesicki","CIN","TE","6","2025","0","0","0","0","0","0","86","16","8","61","0","138","13","6","0","0","8","61","0","0","6","","","","","0.71","3.81","1.63","0.75","","","7.63","","0.75","","0.0","10.2","10.2","2.4","14.1","31.9","5.3","7.8","1.2","0.20"
"290","Luke Schoonmaker","DAL","TE","10","2025","0","0","0","0","0","0","84","15","8","63","0","103","41","24","1","0","8","63","0","1","24","","","","","0.75","4.20","5.13","3.00","0.13","","7.88","0.13","3.00","","0.0","6.3","6.3","1.4","14.3","25.3","2.5","3.0","0.4","0.04"
"291","Dare Ogunbowale","HST","RB","10","2025","3","18","0","12","1","0","33","6","5","36","0","6","33","1","0","0","8","54","0","1","13","6.00","4.00","0.33","","1.09","6.00","6.60","0.20","","","6.75","0.13","1.63","","1.8","3.6","5.4","0.9","9.4","9.7","1.0","1.2","0.1","0.01"
"292","Julius Chestnut","TEN","RB","10","2025","8","36","0","13","1","1","12","2","0","0","0","18","0","","0","0","8","36","0","1","13","4.50","1.63","0.13","12.5","","0.00","","","","","4.50","0.13","1.63","12.5","3.6","0.0","3.6","0.4","3.6","10.3","1.0","1.6","0.6","0.06"
"293","Adam Thielen","MIN","WR","10","2025","0","0","0","0","0","0","113","17","8","69","0","144","13","6","0","0","8","69","0","0","6","","","","","0.61","4.06","1.63","0.75","","","8.63","","0.75","","0.0","6.9","6.9","1.7","16.9","25.1","2.5","3.8","0.4","0.04"
"294","Jack Bech","LV","WR","10","2025","0","0","0","0","0","0","75","10","8","92","0","85","37","11","1","1","8","92","0","1","11","","","","","1.23","9.20","4.63","1.38","0.13","12.5","11.50","0.13","1.38","12.5","0.0","9.2","9.2","1.7","17.2","16.8","1.7","2.6","0.1","0.01"
"295","Allen Lazard","NYJ","WR","6","2025","0","0","0","0","0","0","104","11","7","45","1","103","29","9","0","0","7","45","1","0","9","","","","","0.43","4.09","4.14","1.29","","","6.43","","1.29","","0.0","7.5","7.5","2.9","17.5","24.7","4.1","6.1","1.9","0.32"
"296","Ashton Dulin","IND","WR","9","2025","3","44","0","18","1","2","51","7","4","58","0","97","11","9","1","2","7","102","0","2","27","14.67","6.00","0.33","66.7","1.14","8.29","2.75","2.25","0.25","50.0","14.57","0.29","3.86","57.1","4.9","6.4","11.3","1.6","14.2","15.8","1.8","2.4","0.4","0.04"
"297","Tim Patrick","JAX","WR","9","2025","0","0","0","0","0","0","70","10","7","83","2","102","34","5","0","2","7","83","2","0","5","","","","","1.19","8.30","4.86","0.71","","28.6","11.86","","0.71","28.6","0.0","9.2","9.2","3.0","27.3","23.3","2.6","3.5","1.5","0.16"
"298","Isaiah Williams","NYJ","WR","8","2025","2","29","0","5","1","1","48","7","5","37","0","16","32","10","0","0","7","66","0","1","15","14.50","2.50","0.50","50.0","0.77","5.29","6.40","2.00","","","9.43","0.14","2.14","14.3","3.6","4.6","8.3","1.5","11.6","11.1","1.4","2.5","0.1","0.01"
"299","Curtis Samuel","BUF","WR","6","2025","0","0","0","0","0","0","76","8","7","81","1","99","26","4","0","2","7","81","1","0","4","","","","","1.07","10.13","3.71","0.57","","28.6","11.57","","0.57","28.6","0.0","13.5","13.5","3.5","21.1","15.3","2.5","3.8","0.4","0.07"
"300","Johnny Mundt","JAX","TE","10","2025","0","0","0","0","0","0","83","14","7","83","0","59","63","28","1","1","7","83","0","1","28","","","","","1.00","5.93","9.00","4.00","0.14","14.3","11.86","0.14","4.00","14.3","0.0","8.3","8.3","1.5","15.3","20.9","2.1","2.7","0.1","0.01"
"301","Xavier Smith","LA","WR","10","2025","0","0","0","0","0","0","50","9","7","85","0","136","29","7","0","1","7","85","0","0","7","","","","","1.70","9.44","4.14","1.00","","14.3","12.14","","1.00","14.3","0.0","8.5","8.5","1.6","15.5","15.2","1.5","1.9","0.2","0.02"
"302","Adam Prentice","DEN","FB","11","2025","4","17","0","10","0","0","17","4","3","31","0","11","25","7","0","0","7","48","0","0","17","4.25","2.50","","","1.82","7.75","8.33","2.33","","","6.86","","2.43","","1.5","2.8","4.4","0.7","7.8","7.4","0.7","0.9","0.1","0.01"
"303","Tyler Goodson","IND","RB","5","2025","5","12","0","8","0","0","16","3","2","8","0","-2","10","2","0","0","7","20","0","0","10","2.40","1.60","","","0.50","2.67","5.00","1.00","","","2.86","","1.43","","2.4","1.6","4.0","0.8","4.0","8.4","1.7","2.5","0.4","0.08"
"304","Alec Ingold","MIA","FB","11","2025","2","9","0","8","1","0","64","7","5","36","0","24","29","10","0","1","7","45","0","1","18","4.50","4.00","0.50","","0.56","5.14","5.80","2.00","","20.0","6.43","0.14","2.57","14.3","0.8","3.3","4.1","0.9","9.5","11.6","1.1","1.7","0.1","0.01"
"305","Malik Davis","DAL","RB","4","2025","7","26","0","13","0","0","6","0","0","0","0","0","0","","0","0","7","26","0","0","13","3.71","1.86","","","","0.00","","","","","3.71","","1.86","","6.5","0.0","6.5","0.7","2.6","4.6","1.2","1.4","0.4","0.09"
"306","Charlie Kolar","BLT","TE","10","2025","0","0","0","0","0","0","69","9","7","88","2","75","36","7","1","2","7","88","2","1","7","","","","","1.28","9.78","5.14","1.00","0.14","28.6","12.57","0.14","1.00","28.6","0.0","8.8","8.8","2.8","27.8","14.3","1.4","2.3","0.6","0.06"
"307","Tyler Conklin","LAC","TE","8","2025","1","2","0","2","0","0","61","9","6","95","0","42","55","14","3","2","7","97","0","3","16","2.00","2.00","","","1.56","10.56","9.17","2.33","0.50","33.3","13.86","0.43","2.29","28.6","0.3","11.9","12.1","2.0","15.7","18.9","2.4","3.2","0.6","0.08"
"308","Ray-Ray McCloud","ATL, NYG","WR","6","2025","0","0","0","0","0","0","128","13","7","69","0","80","45","33","3","1","7","69","0","3","33","","","","","0.54","5.31","6.43","4.71","0.43","14.3","9.86","0.43","4.71","14.3","0.0","11.5","11.5","2.3","13.9","24.0","4.0","5.6","0.5","0.09"
"309","Tahj Brooks","CIN","RB","8","2025","7","23","0","17","1","0","8","0","0","0","0","0","0","","0","0","7","23","0","1","17","3.29","2.43","0.14","","","0.00","","","","","3.29","0.14","2.43","","2.9","0.0","2.9","0.3","2.3","3.7","0.5","0.6","0.0","0.01"
"310","Dont'e Thornton","LV","WR","9","2025","0","0","0","0","0","0","170","21","6","98","0","376","23","10","0","3","6","98","0","0","10","","","","","0.58","4.67","3.83","1.67","","50.0","16.33","","1.67","50.0","0.0","10.9","10.9","1.8","15.8","47.0","5.2","8.4","1.1","0.12"
"311","Casey Washington","ATL","WR","7","2025","0","0","0","0","0","0","95","14","6","94","0","249","12","5","0","1","6","94","0","0","5","","","","","0.99","6.71","2.00","0.83","","16.7","15.67","","0.83","16.7","0.0","13.4","13.4","2.2","15.4","24.5","3.5","5.0","0.3","0.04"
"312","Connor Heyward","PIT","TE","10","2025","4","9","0","5","0","0","8","3","2","18","1","41","2","1","0","0","6","27","1","0","6","2.25","1.25","","","2.25","6.00","1.00","0.50","","","4.50","","1.00","","0.9","1.8","2.7","1.1","10.7","10.0","1.0","1.6","0.9","0.09"
"313","Kameron Johnson","TB","WR","10","2025","2","13","0","3","1","0","35","6","4","64","1","75","21","2","0","1","6","77","1","1","5","6.50","1.50","0.50","","1.83","10.67","5.25","0.50","","25.0","12.83","0.17","0.83","16.7","1.3","6.4","7.7","1.8","17.7","11.0","1.1","1.5","0.2","0.02"
"314","John Bates","WAS","TE","9","2025","0","0","0","0","0","0","69","9","6","62","0","32","41","11","0","1","6","62","0","0","11","","","","","0.90","6.89","6.83","1.83","","16.7","10.33","","1.83","16.7","0.0","6.9","6.9","1.4","12.2","13.5","1.5","2.3","0.0","0.01"
"315","Chris Godwin","TB","WR","2","2025","0","0","0","0","0","0","64","13","6","52","0","150","20","8","0","0","6","52","0","0","8","","","","","0.81","4.00","3.33","1.33","","","8.67","","1.33","","0.0","26.0","26.0","5.6","11.2","21.3","10.7","14.5","0.1","0.06"
"316","Nate Adkins","DEN","TE","6","2025","0","0","0","0","0","0","37","9","6","48","1","32","26","11","0","0","6","48","1","0","11","","","","","1.30","5.33","4.33","1.83","","","8.00","","1.83","","0.0","8.0","8.0","2.8","16.8","15.8","2.6","3.4","0.6","0.11"
"317","Devaughn Vele","NO","WR","9","2025","0","0","0","0","0","0","106","13","6","54","1","163","15","1","0","0","6","54","1","0","1","","","","","0.51","4.15","2.50","0.17","","","9.00","","0.17","","0.0","6.0","6.0","1.9","17.4","28.2","3.1","4.5","1.1","0.12"
"318","Terrance Ferguson","LA","TE","7","2025","1","0","0","2","0","0","53","11","5","138","1","245","34","9","0","4","6","138","1","0","11","","2.00","","","2.60","12.55","6.80","1.80","","80.0","23.00","","1.83","66.7","0.0","19.7","19.7","3.5","24.8","26.1","3.7","4.7","1.4","0.21"
"319","Josh Oliver","MIN","TE","8","2025","0","0","0","0","0","0","36","7","6","58","2","14","41","8","1","1","6","58","2","1","8","","","","","1.61","8.29","6.83","1.33","0.17","16.7","9.67","0.17","1.33","16.7","0.0","7.3","7.3","3.0","23.8","13.2","1.7","2.5","0.6","0.07"
"320","Ian Thomas","LV","TE","10","2025","0","0","0","0","0","0","33","6","6","53","0","22","31","16","1","1","6","53","0","1","16","","","","","1.61","8.83","5.17","2.67","0.17","16.7","8.83","0.17","2.67","16.7","0.0","5.3","5.3","1.1","11.3","8.6","0.9","1.3","0.0","0.00"
"321","Malik Heath","GB","WR","9","2025","0","0","0","0","0","0","77","6","6","86","0","57","29","20","2","1","6","86","0","2","20","","","","","1.12","14.33","4.83","3.33","0.33","16.7","14.33","0.33","3.33","16.7","0.0","9.6","9.6","1.6","14.6","8.9","1.0","1.4","0.1","0.01"
"322","John FitzPatrick","GB","TE","10","2025","0","0","0","0","0","0","54","6","6","29","1","17","14","6","0","0","6","29","1","0","6","","","","","0.54","4.83","2.33","1.00","","","4.83","","1.00","","0.0","2.9","2.9","1.5","14.9","15.1","1.5","2.2","0.8","0.08"
"323","Braxton Berrios","HST","WR","4","2025","0","0","0","0","0","0","40","8","6","37","0","25","17","7","1","0","6","37","0","1","7","","","","","0.93","4.63","2.83","1.17","0.17","","6.17","0.17","1.17","","0.0","9.3","9.3","2.4","9.7","11.6","2.9","3.2","0.0","0.01"
"324","Skyy Moore","SF","WR","11","2025","1","1","0","1","0","0","52","6","4","64","0","89","26","23","2","1","5","65","0","2","24","1.00","1.00","","","1.23","10.67","6.50","5.75","0.50","25.0","13.00","0.40","4.80","20.0","0.1","5.8","5.9","1.0","10.5","11.6","1.1","1.4","0.1","0.01"
"325","Jacardia Wright","SEA","RB","1","2025","5","20","0","9","1","0","0","0","0","0","0","0","0","","0","0","5","20","0","1","9","4.00","1.80","0.20","","","0.00","","","","","4.00","0.20","1.80","","20.0","0.0","20.0","2.0","2.0","2.1","2.1","3.8","0.0","0.02"
"326","Cam Akers","MIN","RB","2","2025","5","19","0","21","1","0","2","1","0","0","0","-7","0","","0","0","5","19","0","1","21","3.80","4.20","0.20","","","0.00","","","","","3.80","0.20","4.20","","9.5","0.0","9.5","3.6","7.2","4.1","2.0","2.8","0.0","0.01"
"327","Robbie Chosen","WAS","WR","3","2025","0","0","0","0","0","0","39","9","5","53","0","127","5","3","0","0","5","53","0","0","3","","","","","1.36","5.89","1.00","0.60","","","10.60","","0.60","","0.0","17.7","17.7","3.4","10.3","20.9","7.0","10.3","0.6","0.21"
"328","Brittain Brown","CHI","RB","1","2025","5","37","1","12","2","1","9","1","0","0","0","4","0","","0","0","5","37","1","2","12","7.40","2.40","0.40","20.0","","0.00","","","","","7.40","0.40","2.40","20.0","37.0","0.0","37.0","9.7","9.7","4.0","4.0","4.9","0.1","0.06"
"329","Drew Sample","CIN","TE","10","2025","0","0","0","0","0","0","94","6","5","24","1","1","22","8","0","0","5","24","1","0","8","","","","","0.26","4.00","4.40","1.60","","","4.80","","1.60","","0.0","2.4","2.4","1.3","13.4","10.5","1.1","1.4","0.4","0.04"
"330","D'Ernest Johnson","ARZ, NE","RB","3","2025","5","7","0","7","0","0","11","0","0","0","0","0","0","","0","0","5","7","0","0","7","1.40","1.40","","","","0.00","","","","","1.40","","1.40","","2.3","0.0","2.3","0.2","0.7","4.6","1.5","2.1","0.4","0.12"
"331","Albert Okwuegbunam","LV","TE","1","2025","0","0","0","0","0","0","23","6","5","36","0","20","35","13","2","0","5","36","0","2","13","","","","","1.57","6.00","7.00","2.60","0.40","","7.20","0.40","2.60","","0.0","36.0","36.0","8.6","8.6","9.6","9.6","13.5","0.4","0.37"
"332","Jalin Hyatt","NYG","WR","7","2025","0","0","0","0","0","0","93","13","5","35","0","265","1","","0","0","5","35","0","0","0","","","","","0.38","2.69","0.20","","","","7.00","","","","0.0","5.0","5.0","1.2","8.5","23.2","3.3","4.5","1.0","0.14"
"333","Isaiah Hodgins","NYG","WR","1","2025","0","0","0","0","0","0","24","6","5","57","0","57","10","","0","1","5","57","0","0","0","","","","","2.38","9.50","2.00","","","20.0","11.40","","","20.0","0.0","57.0","57.0","10.7","10.7","8.8","8.8","10.9","0.1","0.07"
"334","Mo Alie-Cox","IND","TE","10","2025","0","0","0","0","0","0","77","8","4","50","0","46","42","14","0","1","4","50","0","0","14","","","","","0.65","6.25","10.50","3.50","","25.0","12.50","","3.50","25.0","0.0","5.0","5.0","0.9","9.0","12.3","1.2","1.7","0.2","0.02"
"335","Marquez Valdes-Scantling","SF","WR","5","2025","0","0","0","0","0","0","81","8","4","40","0","83","5","19","0","0","4","40","0","0","19","","","","","0.49","5.00","1.25","4.75","","","10.00","","4.75","","0.0","8.0","8.0","1.6","8.0","12.4","2.5","2.9","0.1","0.02"
"336","Isaac TeSlaa","DET","WR","10","2025","0","0","0","0","0","0","93","8","4","65","2","135","1","","0","1","4","65","2","0","0","","","","","0.70","8.13","0.25","","","25.0","16.25","","","25.0","0.0","6.5","6.5","2.3","22.5","18.5","1.9","2.7","1.2","0.12"
"337","Will Dissly","LAC","TE","4","2025","0","0","0","0","0","0","39","5","4","43","0","17","35","10","0","0","4","43","0","0","10","","","","","1.10","8.60","8.75","2.50","","","10.75","","2.50","","0.0","10.8","10.8","2.1","8.3","7.3","1.8","2.3","0.0","0.00"
"338","Tutu Atwell","LA","WR","6","2025","0","0","0","0","0","0","108","9","4","164","1","170","65","2","0","3","4","164","1","0","2","","","","","1.52","18.22","16.25","0.50","","75.0","41.00","","0.50","75.0","0.0","27.3","27.3","4.4","26.4","25.2","4.2","5.1","0.9","0.16"
"339","Grant Calcaterra","PHI","TE","8","2025","0","0","0","0","0","0","59","7","4","40","0","41","24","4","0","0","4","40","0","0","4","","","","","0.68","5.71","6.00","1.00","","","10.00","","1.00","","0.0","5.0","5.0","1.0","8.0","10.0","1.3","2.0","0.0","0.00"
"340","Tylan Wallace","BLT","WR","10","2025","0","0","0","0","0","0","71","7","4","45","1","87","17","7","0","0","4","45","1","0","7","","","","","0.63","6.43","4.25","1.75","","","11.25","","1.75","","0.0","4.5","4.5","1.5","14.5","14.3","1.4","2.3","1.0","0.10"
"341","Brevyn Spann-Ford","DAL","TE","10","2025","0","0","0","0","0","0","32","5","4","18","0","30","15","4","0","0","4","18","0","0","4","","","","","0.56","3.60","3.75","1.00","","","4.50","","1.00","","0.0","1.8","1.8","0.6","5.8","9.1","0.9","1.1","0.2","0.02"
"342","Cade Stover","HST","TE","2","2025","0","0","0","0","0","0","19","4","4","22","0","8","14","5","0","0","4","22","0","0","5","","","","","1.16","5.50","3.50","1.25","","","5.50","","1.25","","0.0","11.0","11.0","3.1","6.2","5.4","2.7","3.6","0.0","0.00"
"343","British Brooks","HST","FB","6","2025","4","15","0","11","1","0","1","0","0","0","0","0","0","","0","0","4","15","0","1","11","3.75","2.75","0.25","","","0.00","","","","","3.75","0.25","2.75","","2.5","0.0","2.5","0.3","1.5","7.3","1.2","1.4","1.1","0.18"
"344","Kyle Williams","NE","WR","11","2025","1","-2","0","3","0","0","112","11","3","92","1","236","59","","0","1","4","90","1","0","3","-2.00","3.00","","","0.82","8.36","19.67","","","33.3","22.50","","0.75","25.0","-0.2","8.4","8.2","1.6","18.0","22.3","2.0","3.0","0.2","0.01"
"345","Treylon Burks","WAS","WR","2","2025","0","0","0","0","0","0","26","4","4","72","0","59","13","2","1","1","4","72","0","1","2","","","","","2.77","18.00","3.25","0.50","0.25","25.0","18.00","0.25","0.50","25.0","0.0","36.0","36.0","5.6","11.2","7.1","3.6","6.2","0.1","0.04"
"346","Lil'Jordan Humphrey","NYG, DEN","WR","4","2025","0","0","0","0","0","0","82","8","4","55","0","136","7","4","0","1","4","55","0","0","4","","","","","0.67","6.88","1.75","1.00","","25.0","13.75","","1.00","25.0","0.0","13.8","13.8","2.4","9.5","19.0","4.8","7.2","1.2","0.30"
"347","David Sills","ATL","WR","10","2025","0","0","0","0","0","0","146","8","4","34","0","110","8","4","0","0","4","34","0","0","4","","","","","0.23","4.25","2.00","1.00","","","8.50","","1.00","","0.0","3.4","3.4","0.7","7.4","14.2","1.4","2.1","0.1","0.01"
