"Player Details","","","","","","Overall","","","","","Horizontally Breaking","","","","","","Vertically Breaking","","","","","","Static","","","","","","Shallow/Underneath","","","","","","Backfield","","","","",""
"Rank","Name","Team","POS","G","Season","RTE","SEP SCORE","YPRR","TPRR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","WIN RATE","RTE","RTE %","SEP SCORE","TPRR","YPRR","WIN RATE","RTE","RTE %","SEP SCORE","TPRR","YPRR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","WIN RATE","RTE","RTE %","SEP SCORE","YPRR","TPRR","WIN RATE"
"52","Brian Thomas","JAX","WR","8","2025","260","0.019","1.60","0.23","11.5","89","34.2","0.101","1.71","0.29","18.0","102","39.2","-0.020","0.17","1.60","6.9","59","22.7","-0.051","0.20","1.38","10.2","10","3.8","0.100","2.00","0.40","10.0","","0.0","","","","0.0"
"53","Brandin Cooks","NO","WR","10","2025","259","0.012","0.63","0.09","5.0","69","26.6","0.101","1.33","0.19","10.1","105","40.5","-0.038","0.02","0.19","2.9","65","25.1","-0.031","0.09","0.41","1.5","20","7.7","0.100","1.24","0.19","10.0","","0.0","","","","0.0"
"54","Romeo Doubs","GB","WR","10","2025","257","0.086","1.90","0.24","16.3","122","47.5","0.090","1.48","0.23","17.2","74","28.8","0.149","0.19","2.18","17.6","58","22.6","-0.017","0.31","2.14","12.1","3","1.2","0.333","8.00","1.00","33.3","","0.0","","","","0.0"
"55","Jaxon Smith-Njigba","SEA","WR","10","2025","255","0.169","4.37","0.36","19.6","103","40.4","0.194","4.21","0.39","19.4","105","41.2","0.162","0.26","5.20","21.9","30","11.8","0.200","0.43","3.70","23.3","16","6.3","0.000","1.50","0.69","0.0","1","0.4","0.000","","","0.0"
"56","Mason Taylor","NYJ","TE","10","2025","253","-0.028","1.07","0.18","4.0","97","38.3","0.021","0.95","0.14","8.2","51","20.2","-0.098","0.10","0.52","3.9","55","21.7","-0.018","0.27","1.98","0.0","45","17.8","-0.067","0.96","0.23","0.0","5","2.0","0.000","0.40","0.20","0.0"
"57","Bijan Robinson","ATL","RB","10","2025","249","0.020","1.98","0.22","3.2","26","10.4","0.077","2.19","0.33","19.2","9","3.6","0.000","0.27","2.09","0.0","21","8.4","0.000","0.39","2.87","0.0","25","10.0","0.000","2.24","0.48","0.0","168","67.5","0.018","1.78","0.14","1.8"
"58","Xavier Legette","CAR","WR","9","2025","248","-0.036","1.04","0.17","7.3","89","35.9","-0.067","0.77","0.19","7.9","97","39.1","0.010","0.10","1.00","10.3","43","17.3","-0.047","0.21","1.26","2.3","19","7.7","-0.105","2.11","0.37","0.0","","0.0","","","","0.0"
"59","Jauan Jennings","SF","WR","9","2025","248","0.028","1.51","0.22","12.9","105","42.3","0.086","1.32","0.25","16.2","97","39.1","-0.021","0.19","1.81","13.4","38","15.3","0.026","0.16","1.08","5.3","8","3.2","-0.125","2.50","0.38","0.0","","0.0","","","","0.0"
"60","Kendrick Bourne","SF","WR","10","2025","248","0.028","1.91","0.17","10.1","85","34.3","0.000","2.42","0.26","11.8","110","44.4","0.009","0.13","2.21","7.3","41","16.5","0.146","0.09","0.65","17.1","12","4.8","0.000","","0.08","0.0","","0.0","","","","0.0"
"61","Jalen Nailor","MIN","WR","10","2025","247","0.085","1.26","0.14","13.4","81","32.8","0.074","0.95","0.19","18.5","85","34.4","0.153","0.13","1.97","15.3","55","22.3","0.000","0.05","0.87","5.5","26","10.5","0.077","0.70","0.19","7.7","","0.0","","","","0.0"
"62","Alec Pierce","IND","WR","8","2025","246","0.081","2.37","0.21","16.3","99","40.2","0.182","2.80","0.24","20.2","96","39.0","0.021","0.18","2.59","13.5","46","18.7","-0.022","0.20","1.09","13.0","5","2.0","0.200","1.40","0.20","20.0","","0.0","","","","0.0"
"63","Khalil Shakir","BUF","WR","10","2025","243","0.025","1.81","0.24","7.0","98","40.3","0.041","1.55","0.20","12.2","50","20.6","0.020","0.10","0.51","6.0","24","9.9","0.000","0.20","3.56","4.2","69","28.4","0.014","2.59","0.39","1.4","2","0.8","0.000","","","0.0"
"64","Harold Fannin","CLV","TE","10","2025","243","-0.016","1.68","0.25","5.8","93","38.3","-0.032","2.52","0.28","11.8","48","19.8","-0.042","0.06","0.14","2.1","56","23.0","0.018","0.28","1.47","3.6","43","17.7","0.000","1.58","0.33","0.0","3","1.2","0.000","4.50","0.25","0.0"
"65","Jordan Addison","MIN","WR","7","2025","241","0.083","1.67","0.20","12.0","75","31.1","0.093","1.65","0.23","14.7","86","35.7","0.116","0.19","2.48","14.0","61","25.3","0.049","0.11","0.64","9.8","17","7.1","0.000","1.39","0.39","0.0","2","0.8","0.000","","","0.0"
"66","Puka Nacua","LA","WR","9","2025","235","0.136","3.59","0.36","16.6","115","48.9","0.174","3.19","0.32","20.9","46","19.6","0.152","0.30","3.51","17.4","48","20.4","0.063","0.40","3.50","10.4","25","10.6","0.040","4.92","0.60","4.0","1","0.4","1.000","24.00","1.00","100.0"
"67","De'Von Achane","MIA","RB","11","2025","234","0.009","1.55","0.30","2.6","15","6.4","-0.133","0.27","0.13","0.0","24","10.3","0.000","0.32","1.96","12.5","10","4.3","0.000","","","0.0","42","17.9","0.000","1.64","0.36","0.0","143","61.1","0.028","1.69","0.31","2.1"
"68","Marquise Brown","KC","WR","10","2025","233","-0.026","1.76","0.23","7.3","97","41.6","0.031","2.38","0.26","12.4","71","30.5","-0.028","0.12","1.41","4.2","33","14.2","-0.121","0.26","1.21","6.1","31","13.3","-0.097","1.24","0.30","0.0","1","0.4","0.000","","","0.0"
"69","David Njoku","CLV","TE","9","2025","233","-0.017","1.21","0.18","4.7","52","22.3","0.019","1.02","0.21","13.5","63","27.0","-0.016","0.09","0.84","6.3","44","18.9","0.000","0.20","1.59","0.0","73","31.3","-0.055","1.45","0.21","0.0","1","0.4","0.000","","","0.0"
"70","Jonathan Taylor","IND","RB","10","2025","232","0.004","1.11","0.14","0.4","2","0.9","0.000","","","0.0","9","3.9","0.000","0.10","4.30","0.0","7","3.0","0.000","","","0.0","23","9.9","0.000","1.61","0.17","0.0","191","82.3","0.005","0.87","0.14","0.5"
"71","Dallas Goedert","PHI","TE","9","2025","231","0.004","1.50","0.21","6.1","66","28.6","0.030","0.76","0.19","12.1","44","19.0","0.000","0.17","3.15","4.5","83","35.9","-0.036","0.11","0.57","2.4","37","16.0","0.054","2.72","0.46","5.4","1","0.4","0.000","5.00","1.00","0.0"
"72","Darius Slayton","NYG","WR","8","2025","230","0.022","1.46","0.14","5.2","58","25.2","0.121","1.08","0.14","12.1","105","45.7","-0.029","0.14","1.69","2.9","56","24.3","0.036","0.16","1.41","3.6","11","4.8","-0.091","1.45","0.09","0.0","","0.0","","","","0.0"
"73","Oronde Gadsden","LAC","TE","9","2025","229","0.052","2.13","0.20","9.6","76","33.2","0.132","1.38","0.18","18.4","72","31.4","0.014","0.15","2.84","5.6","36","15.7","0.028","0.36","3.74","5.6","43","18.8","-0.023","0.96","0.20","2.3","2","0.9","0.500","","","50.0"
"74","Chig Okonkwo","TEN","TE","10","2025","229","0.022","1.47","0.18","4.4","51","22.3","0.059","0.49","0.08","9.8","43","18.8","0.093","0.21","2.98","11.6","48","21.0","-0.021","0.23","1.56","0.0","85","37.1","-0.012","1.26","0.19","0.0","2","0.9","0.000","0.50","0.50","0.0"
"75","Sam LaPorta","DET","TE","9","2025","228","0.009","2.14","0.21","3.5","65","28.5","-0.046","2.17","0.20","6.2","73","32.0","0.027","0.08","1.40","2.7","43","18.9","0.070","0.33","1.77","4.7","46","20.2","0.000","3.61","0.33","0.0","1","0.4","0.000","2.00","1.00","0.0"
